Name,Start,End,Open,High,Low,Close,Volume,Market Cap
Bitcoin,9/12/2024,9/13/2024,57371.99,58514.55,57371.99,58116.05,112051169145.18,1146172572942.62
Bitcoin,9/11/2024,9/12/2024,57600.01,57960.58,55588.99,57364.02,108220528609.45,1124141546458.11
Bitcoin,9/10/2024,9/11/2024,56964.02,57984.81,56487.58,57627.99,103703769724.73,1128119592931.96
Bitcoin,9/9/2024,9/10/2024,54777.01,57869.99,54624.95,57031.98,95723896724.91,1099907178125.36
Bitcoin,9/8/2024,9/9/2024,54116.16,55228.47,53694.23,54823.96,77973295408.60,1073878187187.48
Bitcoin,9/7/2024,9/8/2024,53976.04,54810.03,53767.28,54188.32,121445897017.69,1071141347783.92
Bitcoin,9/6/2024,9/7/2024,56209.17,56896.3,52738,53922.68,120787253459.05,1091996852510.76
Bitcoin,9/5/2024,9/6/2024,58006.56,58284.98,55835,56170.04,115814349011.13,1121929134241.60
Bitcoin,9/4/2024,9/5/2024,57644.03,58489.96,55737.91,57984.05,119214510126.47,1129078127994.11
Bitcoin,9/3/2024,9/4/2024,59105.91,59764,57544.01,57544.01,110839951228.43,1157513796045.65
Bitcoin,9/2/2024,9/3/2024,57333.38,59350.72,57297.96,59127.62,111999098228.25,1149670462101.47
Bitcoin,9/1/2024,9/2/2024,58972.96,59038.16,57268.97,57341.08,99808533702.47,1149971682521.67
Bitcoin,8/31/2024,9/1/2024,59115.46,59382.99,58800.05,58965.98,102719941863.68,1166833451801.52
Bitcoin,8/30/2024,8/31/2024,59295.05,59763.02,57944,59158,106977637878.67,1166363249388.67
Bitcoin,8/29/2024,8/30/2024,59076.95,61106.97,58821.98,59348.98,110310423675.45,1178040523912.07
Bitcoin,8/28/2024,8/29/2024,59320.04,60162,57933.03,59034.65,125193171751.83,1170041472108.02
Bitcoin,8/27/2024,8/28/2024,62828.6,63189.69,58564.03,59503.05,109127583964.41,1227021403141.02
Bitcoin,8/26/2024,8/27/2024,64347.03,64374.01,62866.04,62866.04,101203762857.35,1256706917886.48
Bitcoin,8/25/2024,8/26/2024,64184.99,64837.15,63792.95,64279.03,94619490854.94,1265316086913.18
Bitcoin,8/24/2024,8/25/2024,64090.69,64416.96,63625.97,64107.98,125881577994.09,1264412172950.70
Bitcoin,8/23/2024,8/24/2024,60392.09,64851.37,60392.09,63979.97,109681143161.27,1218888710712.56
